title,abstract,date,doi,search_date
Identification of non-synonymous SNPs affecting structure and function of MLH1 and NBN proteins: a computational approach.,"The genes NBN and MLH1 are critical for DNA repair, and this study aimed to detect and predict the effects of pathogenic single nucleotide polymorphisms (SNPs) in their mRNA and protein sequences. An in silico analysis assessed the impact of SNPs on the physicochemical properties, structure, stability, and function of MLH1 and NBN proteins. Results revealed that some SNPs significantly alter protein stability, structure, and binding interactions, potentially impairing DNA repair. Molecular docking studies further indicated disruptions in protein-protein interactions due to specific SNPs. These findings underscore the importance of using in silico methods to predict the functional effects of genetic variations, providing insights that could guide personalized treatments and improve cancer detection.",2025-05-02,10.1007/s13353-025-00968-2,2025/05/01
An intranasal subunit vaccine induces protective systemic and mucosal antibody immunity against respiratory viruses in mouse models.,"Although vaccines are usually given intramuscularly, the intranasal delivery route may lead to better mucosal protection and limit the spread of respiratory virus while easing administration and improving vaccine acceptance. The challenge, however, is to achieve delivery across the selective epithelial cell barrier. Here we report on a subunit vaccine platform, in which the antigen is genetically fused to albumin to facilitate FcRn-mediated transport across the mucosal barrier in the presence of adjuvant. Intranasal delivery in conventional and transgenic mouse models induces both systemic and mucosal antigen-specific antibody responses that protect against challenge with SARS-CoV-2 or influenza A. When benchmarked against an intramuscularly administered mRNA vaccine or an intranasally administered antigen fused to an alternative carrier of similar size, only the albumin-based intranasal vaccine yields robust mucosal IgA antibody responses. Our results thus suggest that this needle-free, albumin-based vaccine platform may be suited for vaccination against respiratory pathogens.",2025-05-01,10.1038/s41467-025-59353-6,2025/05/01
Molecular structure and protein function of mitochondrial fusion protein Mfn2 alleviate Alzheimer's disease: exercise assisted regulation.,"Alzheimer's disease is a neurodegenerative disease that affects cognitive function. Recent studies have shown that mitochondrial dysfunction plays an important role in its pathological process. The mitochondrial fusion protein Mfn2 plays a crucial role in maintaining mitochondrial function and cellular health. The aim of this study is to explore the molecular structure of mitochondrial fusion protein Mfn2 and its role in Alzheimer's disease, combined with the effects of exercise assisted regulation, to evaluate its potential in alleviating symptoms. By constructing a brain model of Alzheimer's disease, conducting pathological analysis and molecular dynamics simulations, we aim to explore the relationship between the disease and mitochondrial function. Analyze the molecular structure of Mfn2, study its role in normal and pathological states, and evaluate its impact on Mfn2 and mitochondrial function through exercise intervention. The study demonstrated the typical pathological features of Alzheimer's disease and confirmed the relationship between mitochondrial dysfunction and disease progression. The structural analysis of mitochondrial fusion protein Mfn2 indicates its importance in promoting mitochondrial fusion. Exercise intervention significantly increased the expression of Mfn2 and improved mitochondrial function, further alleviating pathological changes associated with Alzheimer's disease.",2025-04-29,10.1016/j.ijbiomac.2025.143696,2025/05/01
Design of Recombinant Bacteriocin Fusion Protein and Evaluation of its Anticancer and Antibacterial Activity.,"Gastrointestinal cancer is the fifth most common cause of cancer in the world, and its treatment is currently challenging. Bacteriocins are cationic proteins that are produced by the ribosome. Many bacteriocins exhibit cytotoxicity against cancer cells and are attractive candidates for future research. In this study, the anticancer and antibacterial activity of a recombinant six bacteriocin fusion protein bifidocin, enterocin, nisin, thermophilin, epidermycin, and colicin (BENTEC) was investigated against the AGS cancer cell line and important gram-positive and gram-negative pathogens.",2025-04-29,10.1016/j.micpath.2025.107633,2025/05/01
Design of potent and proteolytically stable double biaryl-stapled GLP-1R/GIPR peptide dual agonists.,"The successful treatment of type 2 diabetes and obesity with tirzepatide highlights the dual agonists of glucagon-like peptide-1 receptor (GLP-1R) and glucose-dependent insulinotropic peptide receptor (GIPR) as a powerful new generation of anti-diabetic drugs. However, tirzepatide and other GLP-1R/GIPR dual agonists currently in clinical development are linear peptides susceptible to proteolytic cleavage, thus preventing their uses as oral drugs. Previously, we reported the design of the proteolytically stable GLP-1R/GIPR peptide dual agonists via sidechain biaryl stapling. Although the stapled peptides exhibit improved proteolytic stability, they are still not sufficiently stable for oral delivery. Here, we report on the design and synthesis of more stable GLP-1R/GIPR dual agonists through a combined use of double biaryl stapling and α-methylation. One of the double-stapled and α-methylated peptides, DA23-Bpy<sup>10,17</sup>Bpy<sup>21,28</sup>, showed more potent and balanced dual agonist activities than tirzepatide, a half-life of 30 min in simulated intestinal fluid, and equal glucose lowering activity compared to semaglutide in oral glucose tolerance test in rodents. These potent and proteolytically stable double biaryl-stapled analogs should provide valuable lead peptides for developing oral GLP-1R/GIPR dual agonist drugs to treat diabetes and obesity.",2025-04-26,10.1016/j.bmc.2025.118215,2025/05/01
Formation of tiger nut protein fibrils through self-assembly and different nuclei-induced pathways: Focus on structure and core peptide region.,"Tiger nut protein fibrils (TNPFs) were prepared through three pathways: self-assembly (TNPF), Homogeneous nuclei (HN)-induced (HN-TNPF), and Secondary nuclei (SN)-induced (SN-TNPF). Differences in morphology, structure, and formation mechanisms among the three TNPFs were examined. HN and SN, serving as fibrillation seeds, enhanced both fibril production and fibrillation rate. Compared to TNPF, the addition of HN and SN shortening the lag time from 3 (TNPF) to 2.2 (HN-TNPF) and 1.89 h (SN-TNPF), respectively. All three TNPFs exhibited fibril structures, notably, SN-TNPF displayed bifurcations on the trunk. Regarding secondary structure, a transition from α-helix to β-sheet was observed in all samples. The dynamic evolution of tertiary structure demonstrated that fibrillation was driven by non-covalent interactions and disulfide bond. After hydrolysis, the identification of specific peptides by LC-MS/MS and core region prediction using AMYLPRED2 showed 89.29 %, 82.22 %, and 89.74 % of peptide sequences in TNPF, HN-TNPF, and SN-TNPF, respectively, possessed fibril forming potential.",2025-04-28,10.1016/j.foodchem.2025.144557,2025/05/01
Dual-Site Targeting by Peptide Inhibitors of the N-Terminal Domain of Hsp90: Mechanism and Design.,"Heat shock protein 90 (Hsp90) is a pivotal molecular chaperone crucial in the maturation of client proteins, positioning it as a significant target for cancer therapy. However, the design of effective Hsp90 inhibitors presents substantial challenges due to the complex interaction network and the requisite specificity of the inhibitors. This study tackles the task of designing peptide inhibitors capable of concurrently binding to both the ATP-binding pocket and the Cdc37-binding site within the N-terminal domain of Hsp90. In response to these challenges, we developed an advanced peptide screening protocol that merges machine learning with various molecular simulation techniques to boost the identification and optimization of potent inhibitors. Our integrated approach employs a convolutional neural network-based framework to predict peptide binding propensities. This predictive model is augmented by comprehensive molecular docking and dynamic simulations to assess the stability and interaction dynamics of Hsp90/peptide complexes. We successfully identified three heptapeptides that demonstrate the ability to interact with both binding sites, effectively obstructing the entrance to the ATP-binding pocket. This study elucidates the inhibitory mechanisms of these peptides, paves the way for the development of more efficacious therapeutic agents targeting Hsp90, and underscores the value of integrating machine learning techniques with molecular modeling in the peptide design process.",2025-05-01,10.1021/acs.jcim.5c00629,2025/05/01
Predicted risk genotypes to cardiovascular diseases based on cholesterol ester transfer protein (CETP -rs708272) and lipoprotein lipase (LPL -rs13702) variants in worldwide populations: highest risk in populations with Native American ancestry.,"The human genetic variability mainly involves single nucleotide variants (SNVs) that determine the characteristics among individuals. Some gene variants related to the lipid metabolism have demonstrated their importance to generate susceptibility to some metabolic diseases, such as those in the Cholesterol Ester Transfer Protein (CETP) and Lipoprotein Lipase (LPL) genes.",2025-05-01,10.1007/s11033-025-10537-9,2025/05/01
A responsive living material prepared by diffusion reveals extracellular enzyme activity of cyanobacteria.,"Stimuli-responsive engineered living materials (ELMs) can respond to environmental or biochemical cues and have broad utility in biological sensors and machines, but have traditionally been limited to biocompatible scaffolds. This is because they are typically made by mixing cells into a precursor solution before crosslinking. Here, we demonstrate a diffusion mechanism for incorporating cells of the cyanobacterium <i>Synechococcus elongatus</i> sp. PCC 7942 (<i>S. elongatus</i>) into nanoclay-poly-N-isopropylacrylamide (NC-PNIPAm), a hydrogel with a cytotoxic precursor, by exploiting its temperature-dependent shape-morphing behavior. Subsequent growth of <i>S. elongatus</i> caused a decrease in the bending curvature and stiffness (local Young's modulus) of NC-PNIPAm due to partial degradation by an unannotated enzyme. Creation and observation of this cyanobacteria-hydrogel ELM showcases a method for diffusing cells into a hydrogel as well as characterizing an extracellular enzyme.",2025-05-01,10.1073/pnas.2424405122,2025/05/01
EVOLVE: A Web Platform for AI-Based Protein Mutation Prediction and Evolutionary Phase Exploration.,"While predicting structure-function relationships from sequence data is fundamental in biophysical chemistry, identifying prospective single-point and collective mutation sites in proteins can help us stay ahead in understanding their potential effects on protein structure and function. Addressing the challenges of large sequence-space analysis, we present EVOLVE, a web tool enabling researchers to explore prospective mutation sites and their collective behavior. EVOLVE integrates a statistical mechanics-guided machine learning algorithms to predict probable mutational sites, with statistical mechanics calculating mutational entropy to accurately identify mutational hotspots. Validation against a number of viral protein sequences confirms its ability to predict mutations and their functional consequences. By leveraging statistical mechanics of phase transition concept, EVOLVE also quantifies mutational entropy fluctuations, offering a quantitative foundation for identifying Variants of Concern (VOC) or Variants under Monitoring (VUM) as per World Health Organization (WHO) guidelines. EVOLVE streamlines data upload and analysis with a user-friendly interface and comprehensive tutorials. Access EVOLVE free at https://evolve-iiserkol.com.",2025-05-01,10.1021/acs.jcim.5c00026,2025/05/01
